tconst	averageRating	numVotes
tt0000001	5.7	2106
tt0000002	5.6	283
tt0000003	6.5	2127
tt0000004	5.4	182
tt0000005	6.2	2855
tt0000006	5.0	200
tt0000007	5.4	891
tt0000008	5.4	2254
tt0000009	5.4	215
tt0000010	6.8	7771
tt0000011	5.2	403
tt0000012	7.4	13204
tt0000013	5.7	2024
tt0000014	7.1	6010
tt0000015	6.1	1237
tt0000016	5.9	1629
tt0000017	4.6	364
tt0000018	5.2	645
tt0000019	5.1	32
tt0000020	4.7	403
tt0000022	5.1	1179
tt0000023	5.7	1554
tt0000024	3.8	149
tt0000025	3.8	47
tt0000026	5.6	1640
tt0000027	5.6	1243
tt0000028	5.1	1167
tt0000029	5.9	3602
tt0000030	5.2	941
tt0000031	5.5	1079
tt0000032	4.9	448
tt0000033	5.5	1111
tt0000034	4.8	243
tt0000035	5.5	84
tt0000036	4.4	642
tt0000037	4.5	75
tt0000038	4.2	223
tt0000039	3.7	33
tt0000040	4.2	76
tt0000041	6.7	2058
tt0000042	4.2	39
tt0000043	3.4	33
tt0000044	4.0	52
tt0000045	4.0	34
tt0000046	4.1	38
tt0000047	3.6	38
tt0000048	4.7	224
tt0000049	4.8	54
tt0000050	4.1	35
tt0000051	3.6	36
tt0000052	4.2	118
tt0000053	3.3	19
tt0000054	4.9	35
tt0000055	3.8	32
tt0000056	3.0	23
tt0000057	4.3	36
tt0000058	4.2	34
tt0000059	3.3	28
tt0000060	7.2	92
tt0000061	4.2	34
tt0000062	6.1	215
tt0000063	3.3	29
tt0000064	3.0	30
tt0000065	3.2	30
tt0000066	3.2	30
tt0000067	5.1	87
tt0000068	3.8	32
tt0000069	4.9	529
tt0000070	6.4	2838
tt0000071	3.3	30
tt0000072	3.5	28
tt0000073	3.5	31
tt0000074	4.6	32
tt0000075	6.3	2123
tt0000076	4.4	577
tt0000077	4.5	36
tt0000078	3.6	103
tt0000079	4.5	37
tt0000080	4.0	32
tt0000081	4.1	33
tt0000082	4.6	51
tt0000083	4.6	33
tt0000084	4.3	31
tt0000085	4.7	34
tt0000086	4.1	34
tt0000087	4.7	37
tt0000088	4.2	33
tt0000089	6.2	1076
tt0000090	3.9	32
tt0000091	6.7	4167
tt0000092	4.5	30
tt0000093	4.6	97
tt0000094	4.3	50
tt0000095	4.8	35
tt0000096	4.1	31
tt0000097	4.9	34
tt0000098	5.2	37
tt0000099	4.6	33
tt0000100	4.8	61
tt0000101	4.5	29
tt0000102	4.7	27
tt0000103	5.4	28
tt0000104	5.6	492
tt0000105	5.0	30
tt0000106	4.4	24
tt0000107	5.2	29
tt0000108	4.4	579
tt0000109	4.4	563
tt0000110	4.3	568
tt0000111	4.4	584
tt0000112	4.5	560
tt0000113	4.3	588
tt0000114	5.1	31
tt0000115	4.9	35
tt0000116	5.2	28
tt0000117	5.0	184
tt0000118	4.8	42
tt0000119	5.0	71
tt0000120	4.9	61
tt0000121	4.3	116
tt0000122	5.1	32
tt0000123	5.5	189
tt0000124	5.2	31
tt0000125	4.6	16
tt0000126	5.8	32
tt0000127	4.4	28
tt0000128	5.5	40
tt0000129	6.5	53
tt0000130	5.1	29
tt0000131	5.7	1595
tt0000132	5.1	1185
tt0000133	6.2	36
tt0000134	4.5	22
tt0000135	6.2	88
tt0000137	5.0	40
tt0000138	6.4	1278
tt0000139	5.3	28
tt0000140	4.9	334
tt0000141	5.1	129
tt0000142	5.1	32
tt0000143	5.0	291
tt0000144	5.2	358
tt0000145	3.5	14
tt0000146	5.0	27
tt0000147	5.2	540
tt0000148	3.3	16
tt0000149	4.6	22
tt0000150	5.4	192
tt0000151	4.6	71
tt0000152	6.2	304
